"","mean_beta","sigma_beta","outlier_rand","max_inf_rand","outlier_mean","max_inf_mean","diff_outl","diff_inf","err_outl","err_inf"
"1",0.00147433776649637,3.72320067666214,-2.0099790470435,100,-2.0099790470435,100,0,0,0,0
"2",0.00557855342218115,3.53215553994401e-07,-1.94889173768682,100,-1.94889167657915,100,0,0,9.83141643952408e-16,0
"3",3.10218664469108e-14,2.58367841650498e-18,-2.00946548903746,100,-2.00946548903746,100,0,0,7.81446627215798e-31,0
"4",8.12997813562368,1.15102243623261e-27,87.4605993986414,85266.6361127786,87.4605993986414,85266.6361127786,0,0,0,0
"5",4.14222045174825,13.5736956875371,57.8939132825406,83656.8561251408,26.1101583171965,73316.5952904495,0.55,0.12,1.48180616563049,0.0198910821257754
"6",0.11873179052512,2.8812456326402e-09,-0.717135027982429,100,-0.71713502769402,100,0,0,1.61739328536751e-19,0
"7",0.312438600366602,0.0124930488733487,1.41969197265126,6886.34546361459,1.42196813921752,6888.27353360186,0,0,2.56229039405618e-06,7.83474416196742e-08
"8",5.53847433010609e-14,4.20844586937257e-31,-2.01022398225716,100,-2.01022398225716,100,0,0,0,0
"9",1.15458743917984e-18,1.91617110026453,-2.01013457281063,100,-2.01013457281063,100,0,0,0,0
"10",2.06552769435227e-17,8.70539168579964e-05,-2.0104526437423,100,-2.0104526437423,100,0,0,0,0
"11",1.64164392812638e-06,0.00436686834872515,-2.01025291416167,100,-2.01025291416167,100,0,0,0,0
"12",2.48131489480659e-09,0.00297811720172673,-2.01043334017036,100,-2.01043334017036,100,0,0,0,0
"13",1.09219032788834e-09,1.2546470497272e-06,-2.00974764439872,100,-2.00974764439872,100,0,0,0,0
"14",2.61974874250497e-11,0.0409817037139734,-2.00973326894562,100,-2.00973326894562,100,0,0,0,0
"15",0.0382478713094842,0.0128097184898571,-1.58607740391428,100,-1.58667253861137,100,0,0,1.40687635735587e-07,0
"16",4.68140714678654e-05,0.00538289925367021,-2.00954250426754,100,-2.00954250426754,100,0,0,0,0
"17",0.000933202575628519,2.47209221557738,-2.01033353414881,100,-2.01033353414881,100,0,0,0,0
"18",0.0399421611407599,1.31067435091547,-2.01057974462658,100,-2.01058301514383,100,0,0,2.64599408989627e-12,0
"19",5.63461776634789e-07,8.4972370169289,-2.01011376390119,100,-2.01011376390119,100,0,0,0,0
"20",0.19733090660755,1.91385920636767e-09,0.144523780627687,298.960048268406,0.144523780587145,298.960047859561,0,0,7.86927981932607e-20,1.8702097286453e-18
"21",0.077954596524256,1.90731861348942e-15,-1.17846344395462,100,-1.17846344395462,100,0,0,0,0
"22",0.0313368235291547,9.54242065387195e-05,-1.67103419960764,100,-1.67102218358861,100,0,0,5.17078862175061e-11,0
"23",3.6453812908934e-14,0.014313288379937,-2.00958734297798,100,-2.00958734297798,100,0,0,0,0
"24",3.52091674611513e-06,2.15299492983004,-2.00985150119653,100,-2.00985150119653,100,0,0,0,0
"25",0.928459423220605,0.925334601608214,9.53173839783636,51779.1479705419,8.36709658244612,46421.2701525724,0.12,0.1,0.0193747092419022,0.0133214522649329
